file,true_mod,snr_db,hypothesis,correct,carrier_lock,measured_ber,decodes,status,other_failed
2fsk_15dB_3028,2fsk,15.0,16qam,False,,1.0,False,failed,signal_present
2fsk_15dB_4028,2fsk,15.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_4028,2fsk,15.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_4028,2fsk,15.0,8psk,False,,1.0,False,failed,signal_present
2fsk_15dB_4028,2fsk,15.0,16qam,False,,1.0,False,failed,signal_present
2fsk_15dB_5028,2fsk,15.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_5028,2fsk,15.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_5028,2fsk,15.0,8psk,False,,1.0,False,failed,signal_present
2fsk_15dB_5028,2fsk,15.0,16qam,False,,1.0,False,failed,signal_present
2fsk_15dB_6028,2fsk,15.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_6028,2fsk,15.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_6028,2fsk,15.0,8psk,False,,1.0,False,failed,signal_present
2fsk_15dB_6028,2fsk,15.0,16qam,False,,1.0,False,failed,signal_present
2fsk_15dB_7028,2fsk,15.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_7028,2fsk,15.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_7028,2fsk,15.0,8psk,False,,1.0,False,failed,signal_present
2fsk_15dB_7028,2fsk,15.0,16qam,False,,1.0,False,failed,signal_present
2fsk_15dB_8028,2fsk,15.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_8028,2fsk,15.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_15dB_8028,2fsk,15.0,8psk,False,,1.0,False,failed,signal_present
2fsk_15dB_8028,2fsk,15.0,16qam,False,,1.0,False,failed,signal_present
2fsk_20dB_2029,2fsk,20.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_2029,2fsk,20.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_2029,2fsk,20.0,8psk,False,,1.0,False,failed,signal_present
2fsk_20dB_2029,2fsk,20.0,16qam,False,,1.0,False,failed,signal_present
2fsk_20dB_3029,2fsk,20.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_3029,2fsk,20.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_3029,2fsk,20.0,8psk,False,,1.0,False,failed,signal_present
2fsk_20dB_3029,2fsk,20.0,16qam,False,,1.0,False,failed,signal_present
2fsk_20dB_4029,2fsk,20.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_4029,2fsk,20.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_4029,2fsk,20.0,8psk,False,,1.0,False,failed,signal_present
2fsk_20dB_4029,2fsk,20.0,16qam,False,,1.0,False,failed,signal_present
