file,scheme,snr_db,envelope_variance,std_over_mean
bpsk_20dB_3005.wav,bpsk,20,0.16781324675713152,0.4096501516625272
bpsk_20dB_4005.wav,bpsk,20,0.16705359975628328,0.40872191005166736
bpsk_20dB_5005.wav,bpsk,20,0.16680095992119545,0.4084127323201316
bpsk_20dB_6005.wav,bpsk,20,0.16946460993790463,0.4116607947544977
bpsk_20dB_7005.wav,bpsk,20,0.1671124618300165,0.40879391119489106
bpsk_20dB_8005.wav,bpsk,20,0.16919687620716095,0.41133547890640426
bpsk_4dB_2000.wav,bpsk,4,0.20714380271437852,0.455130533709153
bpsk_4dB_3000.wav,bpsk,4,0.20595457593311067,0.45382218536901725
bpsk_4dB_4000.wav,bpsk,4,0.20722756470039289,0.4552225441477969
bpsk_4dB_5000.wav,bpsk,4,0.20706172469190384,0.4550403550146996
bpsk_4dB_6000.wav,bpsk,4,0.2072130584443602,0.45520661072128576
bpsk_4dB_7000.wav,bpsk,4,0.20665145516210887,0.4545893258338881
bpsk_4dB_8000.wav,bpsk,4,0.20546299769441498,0.4532802639586407
bpsk_8dB_2001.wav,bpsk,8,0.1792929079706825,0.42342993277599367
bpsk_8dB_3001.wav,bpsk,8,0.17814604371219916,0.42207350510568553
bpsk_8dB_4001.wav,bpsk,8,0.1779763820276074,0.42187247128440053
bpsk_8dB_5001.wav,bpsk,8,0.1794995701772602,0.42367389603002475
bpsk_8dB_6001.wav,bpsk,8,0.17804089028841058,0.4219489190511223
bpsk_8dB_7001.wav,bpsk,8,0.17759971050313425,0.4214258066411385
bpsk_8dB_8001.wav,bpsk,8,0.17725494800643507,0.4210165650024178
qpsk_10dB_2008.wav,qpsk,10,0.11062140052615814,0.33259795628680305
qpsk_10dB_3008.wav,qpsk,10,0.1108162848064894,0.3328908001229373
qpsk_10dB_4008.wav,qpsk,10,0.10985474644651075,0.331443428727303
qpsk_10dB_5008.wav,qpsk,10,0.11064383635788044,0.3326316827331402
qpsk_10dB_6008.wav,qpsk,10,0.11062584321777634,0.3326046349914209
qpsk_10dB_7008.wav,qpsk,10,0.11005585620235284,0.33174667474196756
qpsk_10dB_8008.wav,qpsk,10,0.11064695699884736,0.332636373535498
qpsk_13dB_2009.wav,qpsk,13,0.09575790197216714,0.30944773706098927
qpsk_13dB_3009.wav,qpsk,13,0.09570808185053988,0.3093672281456778
qpsk_13dB_4009.wav,qpsk,13,0.09467747838617449,0.30769705618704657
qpsk_13dB_5009.wav,qpsk,13,0.0968628518228107,0.3112279740364139
qpsk_13dB_6009.wav,qpsk,13,0.09610228242721351,0.31000368131235717
qpsk_13dB_7009.wav,qpsk,13,0.096953086172574,0.31137290532828
qpsk_13dB_8009.wav,qpsk,13,0.09528446275588602,0.30868181474762324
qpsk_15dB_2010.wav,qpsk,15,0.09041157331064084,0.30068517308081694
qpsk_15dB_3010.wav,qpsk,15,0.08959677973495495,0.29932721181836264
qpsk_15dB_4010.wav,qpsk,15,0.08973562555517596,0.2995590518665326
qpsk_15dB_5010.wav,qpsk,15,0.09078823839329227,0.30131086670296553
qpsk_15dB_6010.wav,qpsk,15,0.0898301689465526,0.2997168145876247
qpsk_15dB_7010.wav,qpsk,15,0.09087942218174686,0.30146214054462434
qpsk_15dB_8010.wav,qpsk,15,0.08956044634915168,0.29926651391218445
qpsk_20dB_2011.wav,qpsk,20,0.086009908249356,0.2932744589106866
qpsk_20dB_3011.wav,qpsk,20,0.08495573490420913,0.29147167084334136
qpsk_20dB_4011.wav,qpsk,20,0.08551478792149365,0.2924291160631815
qpsk_20dB_5011.wav,qpsk,20,0.0854870010271624,0.2923816017248049
qpsk_20dB_6011.wav,qpsk,20,0.08506728281900068,0.2916629609995083
qpsk_20dB_7011.wav,qpsk,20,0.08539605645081677,0.2922260365724053
qpsk_20dB_8011.wav,qpsk,20,0.08399494494388447,0.28981881399226733
qpsk_4dB_2006.wav,qpsk,4,0.17783096053713665,0.4217000836342538
qpsk_4dB_3006.wav,qpsk,4,0.17700844213108277,0.4207237123470494
qpsk_4dB_4006.wav,qpsk,4,0.17624674063927595,0.4198175087335877
qpsk_4dB_5006.wav,qpsk,4,0.17602124200145117,0.41954885532134534
qpsk_4dB_6006.wav,qpsk,4,0.17674535062052882,0.4204109306625231
qpsk_4dB_7006.wav,qpsk,4,0.17738797189741815,0.421174514776735
qpsk_4dB_8006.wav,qpsk,4,0.1753206156143988,0.4187130468643159
qpsk_8dB_2007.wav,qpsk,8,0.1281748378273637,0.3580151363104131
qpsk_8dB_3007.wav,qpsk,8,0.1264841731709892,0.355646134761773
qpsk_8dB_4007.wav,qpsk,8,0.12584576010808127,0.3547474596217445
qpsk_8dB_5007.wav,qpsk,8,0.12567882473960734,0.3545120939257324
qpsk_8dB_6007.wav,qpsk,8,0.12713236037383221,0.35655625134588825
qpsk_8dB_7007.wav,qpsk,8,0.12714670372252812,0.3565763645034933
qpsk_8dB_8007.wav,qpsk,8,0.12680027736615204,0.3560902657559626
