file,true_mod,snr_db,arm,chosen_mod,mod_correct,status,confidence,est_ber,est_ber_valid,measured_ber,decodes,confidently_wrong,old_rule_ok,lock_failures,chain_runs,secs,reason
16qam_8dB_6019,16qam,8,truth-params,16qam,True,ok,0.7006,0.01067783,True,0.012388,False,False,True,,1,0.247,
16qam_8dB_6019,16qam,8,s2-top,16qam,True,ok,0.7002,0.01068025,True,0.012388,False,False,True,,1,0.213,
16qam_8dB_6019,16qam,8,search,16qam,True,ok,0.7002,0.01068025,True,0.012388,False,False,True,,1,0.275,
16qam_8dB_7019,16qam,8,truth-params,16qam,True,ok,0.6865,0.01057606,True,0.01264,False,False,True,,1,0.263,
16qam_8dB_7019,16qam,8,s2-top,16qam,True,ok,0.6865,0.01057606,True,0.01264,False,False,True,,1,0.214,
16qam_8dB_7019,16qam,8,search,16qam,True,ok,0.6865,0.01057606,True,0.01264,False,False,True,,1,0.245,
16qam_8dB_8019,16qam,8,truth-params,16qam,True,ok,0.6805,0.01009834,True,0.012275,False,False,True,,1,0.25,
16qam_8dB_8019,16qam,8,s2-top,16qam,True,ok,0.6801,0.01009774,True,0.012275,False,False,True,,1,0.225,
16qam_8dB_8019,16qam,8,search,16qam,True,ok,0.6801,0.01009774,True,0.012275,False,False,True,,1,0.24,
2fsk_10dB_2026,2fsk,10,truth-params,2fsk,True,ok,0.8611,0.0,True,0.0,True,False,True,,1,0.065,
2fsk_10dB_2026,2fsk,10,s2-top,2fsk,True,ok,0.8611,0.0,True,0.0,True,False,True,,1,0.076,
2fsk_10dB_2026,2fsk,10,search,2fsk,True,ok,0.8611,0.0,True,0.0,True,False,True,,1,0.269,
2fsk_10dB_3026,2fsk,10,truth-params,2fsk,True,ok,0.861,0.0,True,0.0,True,False,True,,1,0.065,
2fsk_10dB_3026,2fsk,10,s2-top,2fsk,True,ok,0.861,0.0,True,0.0,True,False,True,,1,0.068,
2fsk_10dB_3026,2fsk,10,search,2fsk,True,ok,0.861,0.0,True,0.0,True,False,True,,1,0.28,
2fsk_10dB_4026,2fsk,10,truth-params,2fsk,True,ok,0.8615,0.0,True,0.0,True,False,True,,1,0.067,
2fsk_10dB_4026,2fsk,10,s2-top,2fsk,True,ok,0.8615,0.0,True,0.0,True,False,True,,1,0.069,
2fsk_10dB_4026,2fsk,10,search,2fsk,True,ok,0.8615,0.0,True,0.0,True,False,True,,1,0.268,
2fsk_10dB_5026,2fsk,10,truth-params,2fsk,True,ok,0.8608,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_10dB_5026,2fsk,10,s2-top,2fsk,True,ok,0.8608,0.0,True,0.0,True,False,True,,1,0.061,
2fsk_10dB_5026,2fsk,10,search,2fsk,True,ok,0.8608,0.0,True,0.0,True,False,True,,1,0.272,
2fsk_10dB_6026,2fsk,10,truth-params,2fsk,True,ok,0.8608,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_10dB_6026,2fsk,10,s2-top,2fsk,True,ok,0.8608,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_10dB_6026,2fsk,10,search,2fsk,True,ok,0.8608,0.0,True,0.0,True,False,True,,1,0.26,
2fsk_10dB_7026,2fsk,10,truth-params,2fsk,True,ok,0.8604,0.0,True,0.0,True,False,True,,1,0.063,
2fsk_10dB_7026,2fsk,10,s2-top,2fsk,True,ok,0.8604,0.0,True,0.0,True,False,True,,1,0.068,
2fsk_10dB_7026,2fsk,10,search,2fsk,True,ok,0.8604,0.0,True,0.0,True,False,True,,1,0.266,
2fsk_10dB_8026,2fsk,10,truth-params,2fsk,True,ok,0.8611,0.0,True,0.0,True,False,True,,1,0.062,
2fsk_10dB_8026,2fsk,10,s2-top,2fsk,True,ok,0.8611,0.0,True,0.0,True,False,True,,1,0.068,
2fsk_10dB_8026,2fsk,10,search,2fsk,True,ok,0.8611,0.0,True,0.0,True,False,True,,1,0.262,
2fsk_13dB_2027,2fsk,13,truth-params,2fsk,True,ok,0.9016,0.0,True,0.0,True,False,True,,1,0.065,
2fsk_13dB_2027,2fsk,13,s2-top,2fsk,True,ok,0.9016,0.0,True,0.0,True,False,True,,1,0.067,
2fsk_13dB_2027,2fsk,13,search,2fsk,True,ok,0.9016,0.0,True,0.0,True,False,True,,1,0.268,
2fsk_13dB_3027,2fsk,13,truth-params,2fsk,True,ok,0.9012,0.0,True,0.0,True,False,True,,1,0.065,
2fsk_13dB_3027,2fsk,13,s2-top,2fsk,True,ok,0.9012,0.0,True,0.0,True,False,True,,1,0.066,
2fsk_13dB_3027,2fsk,13,search,2fsk,True,ok,0.9012,0.0,True,0.0,True,False,True,,1,0.263,
2fsk_13dB_4027,2fsk,13,truth-params,2fsk,True,ok,0.9014,0.0,True,0.0,True,False,True,,1,0.063,
2fsk_13dB_4027,2fsk,13,s2-top,2fsk,True,ok,0.9014,0.0,True,0.0,True,False,True,,1,0.068,
2fsk_13dB_4027,2fsk,13,search,2fsk,True,ok,0.9014,0.0,True,0.0,True,False,True,,1,0.274,
2fsk_13dB_5027,2fsk,13,truth-params,2fsk,True,ok,0.9014,0.0,True,0.0,True,False,True,,1,0.065,
2fsk_13dB_5027,2fsk,13,s2-top,2fsk,True,ok,0.9013,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_13dB_5027,2fsk,13,search,2fsk,True,ok,0.9013,0.0,True,0.0,True,False,True,,1,0.267,
2fsk_13dB_6027,2fsk,13,truth-params,2fsk,True,ok,0.9015,0.0,True,0.0,True,False,True,,1,0.063,
2fsk_13dB_6027,2fsk,13,s2-top,2fsk,True,ok,0.9015,0.0,True,0.0,True,False,True,,1,0.094,
2fsk_13dB_6027,2fsk,13,search,2fsk,True,ok,0.9015,0.0,True,0.0,True,False,True,,1,0.269,
2fsk_13dB_7027,2fsk,13,truth-params,2fsk,True,ok,0.9012,0.0,True,0.0,True,False,True,,1,0.063,
2fsk_13dB_7027,2fsk,13,s2-top,2fsk,True,ok,0.9011,0.0,True,0.0,True,False,True,,1,0.067,
2fsk_13dB_7027,2fsk,13,search,2fsk,True,ok,0.9011,0.0,True,0.0,True,False,True,,1,0.268,
2fsk_13dB_8027,2fsk,13,truth-params,2fsk,True,ok,0.9012,0.0,True,0.0,True,False,True,,1,0.065,
2fsk_13dB_8027,2fsk,13,s2-top,2fsk,True,ok,0.9012,0.0,True,0.0,True,False,True,,1,0.065,
2fsk_13dB_8027,2fsk,13,search,2fsk,True,ok,0.9012,0.0,True,0.0,True,False,True,,1,0.277,
2fsk_15dB_2028,2fsk,15,truth-params,2fsk,True,ok,0.9213,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_15dB_2028,2fsk,15,s2-top,2fsk,True,ok,0.9213,0.0,True,0.0,True,False,True,,1,0.071,
2fsk_15dB_2028,2fsk,15,search,2fsk,True,ok,0.9213,0.0,True,0.0,True,False,True,,1,0.264,
2fsk_15dB_3028,2fsk,15,truth-params,2fsk,True,ok,0.9216,0.0,True,0.0,True,False,True,,1,0.063,
2fsk_15dB_3028,2fsk,15,s2-top,2fsk,True,ok,0.9216,0.0,True,0.0,True,False,True,,1,0.072,
2fsk_15dB_3028,2fsk,15,search,2fsk,True,ok,0.9216,0.0,True,0.0,True,False,True,,1,0.276,
2fsk_15dB_4028,2fsk,15,truth-params,2fsk,True,ok,0.9215,0.0,True,0.0,True,False,True,,1,0.065,
2fsk_15dB_4028,2fsk,15,s2-top,2fsk,True,ok,0.9215,0.0,True,0.0,True,False,True,,1,0.069,
2fsk_15dB_4028,2fsk,15,search,2fsk,True,ok,0.9215,0.0,True,0.0,True,False,True,,1,0.281,
2fsk_15dB_5028,2fsk,15,truth-params,2fsk,True,ok,0.9214,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_15dB_5028,2fsk,15,s2-top,2fsk,True,ok,0.9214,0.0,True,0.0,True,False,True,,1,0.063,
2fsk_15dB_5028,2fsk,15,search,2fsk,True,ok,0.9214,0.0,True,0.0,True,False,True,,1,0.271,
2fsk_15dB_6028,2fsk,15,truth-params,2fsk,True,ok,0.9214,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_15dB_6028,2fsk,15,s2-top,2fsk,True,ok,0.9214,0.0,True,0.0,True,False,True,,1,0.07,
2fsk_15dB_6028,2fsk,15,search,2fsk,True,ok,0.9214,0.0,True,0.0,True,False,True,,1,0.278,
2fsk_15dB_7028,2fsk,15,truth-params,2fsk,True,ok,0.9217,0.0,True,0.0,True,False,True,,1,0.063,
2fsk_15dB_7028,2fsk,15,s2-top,2fsk,True,ok,0.9217,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_15dB_7028,2fsk,15,search,2fsk,True,ok,0.9217,0.0,True,0.0,True,False,True,,1,0.268,
2fsk_15dB_8028,2fsk,15,truth-params,2fsk,True,ok,0.9218,0.0,True,0.0,True,False,True,,1,0.066,
