case,seed,path,plugin,declared_fs,raised,status,modulation,chain_runs,n_llrs,finite,rate_used,ber,secs,trace
empty band,6,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.03055149968713522,
empty band,6,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.029021200258284807,
empty band,7,blind search,,200000.0,,failed,,0,0,,,,0.17494150018319488,
empty band,7,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.009377400390803814,
empty band,7,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.007098499685525894,
empty band,7,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.00781519990414381,
empty band,7,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.007406600285321474,
empty band,7,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.02619640016928315,
empty band,7,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.027571099810302258,
clipped (saturated),0,blind search,,200000.0,,ok,qpsk,1,57774,True,50000.012357446896,0.0,0.826144500169903,
clipped (saturated),0,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.2269263002090156,
clipped (saturated),0,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.2831938001327217,
clipped (saturated),0,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.4444784997031093,
clipped (saturated),0,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.413671299815178,
clipped (saturated),0,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.06930200010538101,
clipped (saturated),0,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.09428589977324009,
clipped (saturated),1,blind search,,200000.0,,ok,qpsk,1,57772,True,49999.9891464505,0.0,0.8337456998415291,
clipped (saturated),1,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.2156246998347342,
clipped (saturated),1,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.2637265999801457,
clipped (saturated),1,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.4716027001850307,
clipped (saturated),1,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.4054225999861956,
clipped (saturated),1,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.07168840011581779,
clipped (saturated),1,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.0929146003909409,
clipped (saturated),2,blind search,,200000.0,,ok,qpsk,1,57772,True,49999.99846510453,0.0,0.8287655999884009,
clipped (saturated),2,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.2371000000275671,
clipped (saturated),2,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.294378399848938,
clipped (saturated),2,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.4763641003519297,
clipped (saturated),2,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.4147962001152337,
clipped (saturated),2,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.07015569973737001,
clipped (saturated),2,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.08854349981993437,
clipped (saturated),3,blind search,,200000.0,,ok,qpsk,1,57774,True,50000.00451796952,0.0,0.826549899764359,
clipped (saturated),3,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.2514924998395145,
clipped (saturated),3,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.3013530997559428,
clipped (saturated),3,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.5441902000457048,
clipped (saturated),3,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.3906054003164172,
clipped (saturated),3,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.06667689979076385,
clipped (saturated),3,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.08895910019055009,
clipped (saturated),4,blind search,,200000.0,,ok,qpsk,1,57774,True,50000.00649465777,0.0,0.8249674998223782,
clipped (saturated),4,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.231005399953574,
clipped (saturated),4,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.264588600024581,
clipped (saturated),4,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.4513349998742342,
clipped (saturated),4,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.4055599998682737,
clipped (saturated),4,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.0689947996288538,
clipped (saturated),4,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.0939543996937573,
clipped (saturated),5,blind search,,200000.0,,ok,qpsk,1,57774,True,50000.00056589896,0.0,0.8438275996595621,
clipped (saturated),5,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.476172300055623,
