kind,file,true_mod,true_family,snr_db,family_asked,proposed_rate,true_rate,rel_error,score,screen
corpus,4fsk_10dB_7032,4fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,128.782,pass
corpus,4fsk_10dB_8032,4fsk,fsk,10.0,psk,58345.03,50000.0,0.166901,4.117,fail
corpus,4fsk_10dB_8032,4fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,125.731,pass
corpus,4fsk_13dB_2033,4fsk,fsk,13.0,psk,14028.93,50000.0,0.719421,4.03,fail
corpus,4fsk_13dB_2033,4fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,145.859,pass
corpus,4fsk_13dB_3033,4fsk,fsk,13.0,psk,36427.31,50000.0,0.271454,3.547,fail
corpus,4fsk_13dB_3033,4fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,144.728,pass
corpus,4fsk_13dB_4033,4fsk,fsk,13.0,psk,62327.58,50000.0,0.246552,4.157,fail
corpus,4fsk_13dB_4033,4fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,152.373,pass
corpus,4fsk_13dB_5033,4fsk,fsk,13.0,psk,61367.8,50000.0,0.227356,3.937,fail
corpus,4fsk_13dB_5033,4fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,137.574,pass
corpus,4fsk_13dB_6033,4fsk,fsk,13.0,psk,21147.16,50000.0,0.577057,3.837,fail
corpus,4fsk_13dB_6033,4fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,138.403,pass
corpus,4fsk_13dB_7033,4fsk,fsk,13.0,psk,31074.52,50000.0,0.37851,3.642,fail
corpus,4fsk_13dB_7033,4fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,145.557,pass
corpus,4fsk_13dB_8033,4fsk,fsk,13.0,psk,2929.69,50000.0,0.941406,3.872,fail
corpus,4fsk_13dB_8033,4fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,141.613,pass
corpus,4fsk_15dB_2034,4fsk,fsk,15.0,psk,22137.45,50000.0,0.557251,3.979,fail
corpus,4fsk_15dB_2034,4fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,146.494,pass
corpus,4fsk_15dB_3034,4fsk,fsk,15.0,psk,9510.8,50000.0,0.809784,3.917,fail
corpus,4fsk_15dB_3034,4fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,145.526,pass
corpus,4fsk_15dB_4034,4fsk,fsk,15.0,psk,54611.21,50000.0,0.092224,4.082,fail
corpus,4fsk_15dB_4034,4fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,157.074,pass
corpus,4fsk_15dB_5034,4fsk,fsk,15.0,psk,4382.32,50000.0,0.912354,4.251,fail
corpus,4fsk_15dB_5034,4fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,146.996,pass
corpus,4fsk_15dB_6034,4fsk,fsk,15.0,psk,48690.8,50000.0,0.026184,3.88,fail
corpus,4fsk_15dB_6034,4fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,141.174,pass
corpus,4fsk_15dB_7034,4fsk,fsk,15.0,psk,77784.73,50000.0,0.555695,4.302,fail
corpus,4fsk_15dB_7034,4fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,143.361,pass
corpus,4fsk_15dB_8034,4fsk,fsk,15.0,psk,10697.94,50000.0,0.786041,3.754,fail
corpus,4fsk_15dB_8034,4fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,147.043,pass
corpus,4fsk_20dB_2035,4fsk,fsk,20.0,psk,10769.65,50000.0,0.784607,4.206,fail
corpus,4fsk_20dB_2035,4fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,166.429,pass
corpus,4fsk_20dB_3035,4fsk,fsk,20.0,psk,33805.85,50000.0,0.323883,4.262,fail
corpus,4fsk_20dB_3035,4fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,157.959,pass
corpus,4fsk_20dB_4035,4fsk,fsk,20.0,psk,11061.1,50000.0,0.778778,3.887,fail
corpus,4fsk_20dB_4035,4fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,171.211,pass
corpus,4fsk_20dB_5035,4fsk,fsk,20.0,psk,38992.31,50000.0,0.220154,4.196,fail
corpus,4fsk_20dB_5035,4fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,160.607,pass
corpus,4fsk_20dB_6035,4fsk,fsk,20.0,psk,24272.16,50000.0,0.514557,3.734,fail
corpus,4fsk_20dB_6035,4fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,166.715,pass
corpus,4fsk_20dB_7035,4fsk,fsk,20.0,psk,46972.66,50000.0,0.060547,3.909,fail
corpus,4fsk_20dB_7035,4fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,160.207,pass
corpus,4fsk_20dB_8035,4fsk,fsk,20.0,psk,59072.88,50000.0,0.181458,3.536,fail
corpus,4fsk_20dB_8035,4fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,151.224,pass
corpus,4fsk_4dB_2030,4fsk,fsk,4.0,psk,65634.16,50000.0,0.312683,3.979,fail
corpus,4fsk_4dB_2030,4fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,50.688,pass
corpus,4fsk_4dB_3030,4fsk,fsk,4.0,psk,28802.49,50000.0,0.42395,3.752,fail
corpus,4fsk_4dB_3030,4fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,52.948,pass
corpus,4fsk_4dB_4030,4fsk,fsk,4.0,psk,39537.05,50000.0,0.209259,4.112,fail
